Farm,Field,Crop,Activity Name,Date Due,Date & Time Started,Date & Time Completed,Active Ingredient,Cumulative Area (acre),Total Application Rate (gal/acre),Volume Rate (gal/acre),Harvested Weight (ton),Canal Level PSI,Flow Meter,Rain Meter,Sentek 1 Sensor Depth,Solar Radiation,Temp,Wind Direction
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Aluminium,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Boron,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Calcium,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Copper,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Iron,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Magnesium,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Manganese,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Nitrogen,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Phosphate,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Potash,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Sodium,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Sulfur,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,Zinc,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Compost Application,1/31/2021,,,,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Flood Irrigation - Well,2/1/2021,,,Water,2.53,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Flood Irrigation - Well,2/1/2021,,,,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Flood Irrigation - Well,3/1/2021,,,Water,2.53,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Flood Irrigation - Well,3/1/2021,,,,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Flood Irrigation - Well,3/31/2021,,,Water,5.06,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Flood Irrigation - Well,3/31/2021,,,,5.06,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC01,Pasture,Soil Sampling,1/2/2021,,,,2.53,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Aluminium,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Boron,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Calcium,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Copper,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Iron,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Magnesium,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Manganese,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Nitrogen,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Phosphate,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Potash,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Sodium,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Sulfur,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,Zinc,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Compost Application,1/31/2021,,,,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Flood Irrigation - Well,2/1/2021,,,Water,2.94,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Flood Irrigation - Well,2/1/2021,,,,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Flood Irrigation - Well,3/1/2021,,,Water,2.94,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Flood Irrigation - Well,3/1/2021,,,,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Flood Irrigation - Well,3/31/2021,,,Water,5.88,100,"13,577.14",0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Flood Irrigation - Well,3/31/2021,,,,5.88,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC02,Pasture,Soil Sampling,1/2/2021,,,,2.94,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Aluminium,2.86,100,0,0,0,0,0,0,0,0,0
Merced College Farm,MC03,Pasture,Compost Application,1/31/2021,,,Boron,2.86,100,0,0,0,0,0,0,0,0,0
