Farm,Field,Activity Name,Date Due,Start Time,Stop Time,Cost  (Dollars),Total Application Rate (gal/acre),Cumulative Area (acre)
Merced College Farm,MC01,Compost Application,1/31/2021,,,544.73,100,2.53
Merced College Farm,MC01,Flood Irrigation - Well,2/1/2021,,,59.5,100,2.53
Merced College Farm,MC01,Flood Irrigation - Well,3/1/2021,,,59.49,100,2.53
Merced College Farm,MC01,Flood Irrigation - Well,3/31/2021,,,118.97,100,5.06
Merced College Farm,MC01,Soil Sampling,1/2/2021,,,58.27,100,2.53
Merced College Farm,MC02,Compost Application,1/31/2021,,,632.14,100,2.94
Merced College Farm,MC02,Flood Irrigation - Well,2/1/2021,,,61.03,100,2.94
Merced College Farm,MC02,Flood Irrigation - Well,3/1/2021,,,61.03,100,2.94
Merced College Farm,MC02,Flood Irrigation - Well,3/31/2021,,,122.05,100,5.88
Merced College Farm,MC02,Soil Sampling,1/2/2021,,,67.62,100,2.94
Merced College Farm,MC03,Compost Application,1/31/2021,,,614.94,100,2.86
Merced College Farm,MC03,Flood Irrigation - Well,2/1/2021,,,60.73,100,2.86
Merced College Farm,MC03,Flood Irrigation - Well,3/1/2021,,,60.73,100,2.86
Merced College Farm,MC03,Flood Irrigation - Well,3/31/2021,,,121.45,100,5.72
Merced College Farm,MC03,Soil Sampling,1/2/2021,,,65.78,100,2.86
Merced College Farm,MC04,Compost Application,1/31/2021,,,602.84,100,2.8
Merced College Farm,MC04,Flood Irrigation - Well,2/1/2021,,,60.51,100,2.8
Merced College Farm,MC04,Flood Irrigation - Well,3/1/2021,,,60.51,100,2.8
Merced College Farm,MC04,Flood Irrigation - Well,3/31/2021,,,121.03,100,5.61
Merced College Farm,MC04,Soil Sampling,1/2/2021,,,64.49,100,2.8
Merced College Farm,MC05,Baling,3/23/2021,,,64,100,3.2
Merced College Farm,MC05,Close Drains,1/10/2021,,,16,100,3.2
Merced College Farm,MC05,Close Drains,2/28/2021,,,16,100,3.2
Merced College Farm,MC05,Compost Application,10/13/2020,,,688,100,3.2
Merced College Farm,MC05,Disc with Flat Roller,10/14/2020,,,86.4,0,3.2
Merced College Farm,MC05,Disc with Ring Roller,4/1/2021,,,80,100,3.2
Merced College Farm,MC05,Flood Irrigation - Well,10/30/2020,,,62,100,3.2
Merced College Farm,MC05,Flood Irrigation - Well,11/30/2020,,,62,100,3.2
Merced College Farm,MC05,Flood Irrigation - Well,1/16/2021,,,62,100,3.2
Merced College Farm,MC05,Flood Irrigation - Well,2/18/2021,,,62,100,3.2
Merced College Farm,MC05,Fungicide Application,1/13/2021,,,61.6,0,3.2
Merced College Farm,MC05,Harrow Bed,3/28/2021,,,300,100,3.2
Merced College Farm,MC05,Make Flood Irrigation Checks,10/16/2020,,,16,100,3.2
Merced College Farm,MC05,Open Drains,10/18/2020,,,16,100,3.2
Merced College Farm,MC05,Open Drains,1/14/2021,,,16,100,3.2
Merced College Farm,MC05,Planting - Drill - Oats,10/15/2020,,,153.6,100,3.2
Merced College Farm,MC05,Raking,3/21/2021,,,48,100,3.2
Merced College Farm,MC05,Soil Sampling,10/12/2020,,,73.6,100,3.2
Merced College Farm,MC05,Swathing,3/20/2021,,,96,100,3.2
Merced College Farm,MC06,Baling,3/23/2021,,,36.5,100,1.82
Merced College Farm,MC06,Close Drains,1/10/2021,,,9.12,100,1.82
Merced College Farm,MC06,Close Drains,2/28/2021,,,9.12,100,1.82
Merced College Farm,MC06,Compost Application,10/13/2021,,,392.35,100,1.82
Merced College Farm,MC06,Disc with Flat Roller,10/14/2021,,,49.27,0,1.82
Merced College Farm,MC06,Disc with Ring Roller,4/1/2021,,,45.62,100,1.82
Merced College Farm,MC06,Flood Irrigation - Well,10/30/2020,,,56.84,100,1.82
Merced College Farm,MC06,Flood Irrigation - Well,11/30/2020,,,56.84,100,1.82
Merced College Farm,MC06,Flood Irrigation - Well,1/16/2021,,,56.84,100,1.82
Merced College Farm,MC06,Flood Irrigation - Well,2/18/2021,,,56.84,100,1.82
Merced College Farm,MC06,Fungicide Application,1/13/2021,,,35.13,0,1.82
Merced College Farm,MC06,Harrow Bed,3/28/2021,,,300,100,1.82
Merced College Farm,MC06,Make Flood Irrigation Checks,10/16/2020,,,9.12,100,1.82
Merced College Farm,MC06,Open Drains,10/18/2020,,,9.12,100,1.82
Merced College Farm,MC06,Open Drains,1/14/2021,,,9.12,100,1.82
Merced College Farm,MC06,Planting - Drill - Oats,10/15/2020,,,87.59,100,1.82
Merced College Farm,MC06,Raking,3/21/2021,,,27.37,100,1.82
Merced College Farm,MC06,Soil Sampling,10/12/2021,,,41.97,100,1.82
Merced College Farm,MC06,Swathing,3/20/2021,,,54.75,100,1.82
Merced College Farm,MC07a,Compost Application,1/31/2021,,,"1,413.43",100,6.57
Merced College Farm,MC07a,Flood Irrigation - Well,2/1/2021,,,74.65,100,6.57
Merced College Farm,MC07a,Flood Irrigation - Well,3/1/2021,,,74.65,100,6.57
Merced College Farm,MC07a,Flood Irrigation - Well,3/31/2021,,,149.31,100,13.15
Merced College Farm,MC07a,Soil Sampling,1/2/2021,,,151.2,100,6.57
Merced College Farm,MC07b,Compost Application,1/31/2021,,,477.32,100,2.22
Merced College Farm,MC07b,Flood Irrigation - Well,2/1/2021,,,58.33,100,2.22
Merced College Farm,MC07b,Flood Irrigation - Well,3/1/2021,,,58.33,100,2.22
Merced College Farm,MC07b,Flood Irrigation - Well,3/31/2021,,,116.65,100,4.44
Merced College Farm,MC07b,Soil Sampling,1/2/2021,,,51.06,100,2.22
Merced College Farm,MC08,Compost Application,1/31/2021,,,"2,084.45",100,9.7
Merced College Farm,MC08,Flood Irrigation - Well,2/1/2021,,,86.36,100,9.7
Merced College Farm,MC08,Flood Irrigation - Well,3/1/2021,,,86.36,100,9.7
Merced College Farm,MC08,Flood Irrigation - Well,3/31/2021,,,172.71,100,19.39
Merced College Farm,MC08,Soil Sampling,1/2/2021,,,222.99,100,9.7
Merced College Farm,MC09,Compost Application,1/31/2021,,,"2,314.06",100,10.76
Merced College Farm,MC09,Flood Irrigation - Well,2/1/2021,,,90.36,100,10.76
Merced College Farm,MC09,Flood Irrigation - Well,3/1/2021,,,90.36,100,10.76
Merced College Farm,MC09,Flood Irrigation - Well,3/31/2021,,,180.72,100,21.53
Merced College Farm,MC09,Soil Sampling,1/2/2021,,,247.55,100,10.76
Merced College Farm,MC10,Planting - Drill - Oats,10/15/2020,,,331.36,100,6.9
Merced College Farm,MC10,Make Flood Irrigation Checks,10/16/2020,,,34.52,100,6.9
Merced College Farm,MC10,Open Drains,10/18/2020,,,34.52,100,6.9
Merced College Farm,MC10,Flood Irrigation - Well,10/30/2020,,,75.89,100,6.9
Merced College Farm,MC10,Flood Irrigation - Well,11/30/2020,,,75.89,100,6.9
Merced College Farm,MC10,Close Drains,1/10/2021,,,34.52,100,6.9
Merced College Farm,MC10,Fungicide Application,1/13/2021,,,132.89,0,6.9
Merced College Farm,MC10,Open Drains,1/14/2021,,,34.52,100,6.9
Merced College Farm,MC10,Flood Irrigation - Well,1/16/2021,,,75.89,100,6.9
Merced College Farm,MC10,Flood Irrigation - Well,2/18/2021,,,75.89,100,6.9
Merced College Farm,MC10,Close Drains,2/28/2021,,,34.52,100,6.9
Merced College Farm,MC10,Swathing,3/20/2021,,,207.1,100,6.9
Merced College Farm,MC10,Raking,3/21/2021,,,103.55,100,6.9
Merced College Farm,MC10,Baling,3/23/2021,,,138.07,100,6.9
Merced College Farm,MC10,Harrow Bed,3/28/2021,,,300,100,6.9
Merced College Farm,MC10,Chisel,4/1/2021,,,310.65,0,6.9
Merced College Farm,MC10,Disc with Ring Roller,4/1/2021,,,172.58,100,6.9
Merced College Farm,MC10,Optimizer- Heavy Duty,4/2/2021,,,310.65,0,6.9
Merced College Farm,MC10,Tri-Plane,4/3/2021,,,138.07,0,6.9
Merced College Farm,MC10,Potash Application,4/4/2021,,,869.82,0,6.9
Merced College Farm,MC10,Chicken Manure Application,4/5/2021,,,"2,071.00",0,6.9
Merced College Farm,MC10,Performer- Heavy Duty,4/6/2021,,,276.13,0,6.9
Merced College Farm,MC10,Pre-Irrigation Furrow,6/14/2021,,,200,0,6.9
Merced College Farm,MC10,Lilliston- 1st Pass,8/23/2021,,,138.07,0,6.9
Merced College Farm,MC10,Lilliston- 2nd Pass,8/28/2021,,,138.07,0,6.9
Merced College Farm,MC10,Planting Corn,8/29/2021,,,"1,863.90",100,6.9
Merced College Farm,MC10,Performer- Cultivation 1st Pass,9/27/2021,,,151.87,0,6.9
Merced College Farm,MC10,Soil Sampling,10/12/2021,,,158.78,100,6.9
Merced College Farm,MC10,Compost Application,10/13/2021,,,"1,484.21",100,6.9
Merced College Farm,MC10,Disc with Flat Roller,10/14/2021,,,186.39,0,6.9
Merced College Farm,MC10,Performer- Cultivation 2nd Pass,10/27/2021,,,151.87,0,6.9
Merced College Farm,MC10,VR- Side Dress,11/11/2021,,,"1,035.50",0,6.9
Merced College Farm,MC10,Performer- Cultivation 3rd Pass,11/26/2021,,,151.87,0,6.9
Merced College Farm,MC10,Furrow Irrigation,11/27/2021,,,160,0,6.9
Merced College Farm,MC10,Corn Harvest,3/21/2022,,,"1,035.50",0,6.9
Merced College Farm,MC10,Discing,3/22/2022,,,186.39,0,6.9
Merced College Farm,MC11,Baling,3/23/2021,,,230.17,100,11.51
Merced College Farm,MC11,Chicken Manure Application,4/5/2021,,,"3,452.61",0,11.51
Merced College Farm,MC11,Chisel,4/1/2021,,,517.89,0,11.51
Merced College Farm,MC11,Close Drains,1/10/2021,,,57.54,100,11.51
Merced College Farm,MC11,Close Drains,2/28/2021,,,57.54,100,11.51
Merced College Farm,MC11,Compost Application,10/13/2021,,,"2,474.37",100,11.51
Merced College Farm,MC11,Corn Harvest,3/21/2022,,,"1,726.30",0,11.51
Merced College Farm,MC11,Discing,3/22/2022,,,310.73,0,11.51
Merced College Farm,MC11,Disc with Flat Roller,10/14/2021,,,310.73,0,11.51
Merced College Farm,MC11,Disc with Ring Roller,4/1/2021,,,287.72,100,11.51
Merced College Farm,MC11,Flood Irrigation - Well,10/30/2020,,,93.16,100,11.51
Merced College Farm,MC11,Flood Irrigation - Well,11/30/2020,,,93.16,100,11.51
Merced College Farm,MC11,Flood Irrigation - Well,1/16/2021,,,93.16,100,11.51
Merced College Farm,MC11,Flood Irrigation - Well,2/18/2021,,,93.16,100,11.51
Merced College Farm,MC11,Fungicide Application,1/13/2021,,,221.54,0,11.51
Merced College Farm,MC11,Furrow Irrigation,11/27/2021,,,160,0,11.51
Merced College Farm,MC11,Harrow Bed,3/28/2021,,,300,100,11.51
Merced College Farm,MC11,Lilliston- 1st Pass,8/23/2021,,,230.17,0,11.51
Merced College Farm,MC11,Lilliston- 2nd Pass,8/28/2021,,,230.17,0,11.51
Merced College Farm,MC11,Make Flood Irrigation Checks,10/16/2020,,,57.54,100,11.51
Merced College Farm,MC11,Open Drains,10/18/2020,,,57.54,100,11.51
Merced College Farm,MC11,Open Drains,1/14/2021,,,57.54,100,11.51
Merced College Farm,MC11,Optimizer- Heavy Duty,4/2/2021,,,517.89,0,11.51
Merced College Farm,MC11,Performer- Cultivation 1st Pass,9/27/2021,,,253.19,0,11.51
Merced College Farm,MC11,Performer- Cultivation 2nd Pass,10/27/2021,,,253.19,0,11.51
Merced College Farm,MC11,Performer- Cultivation 3rd Pass,11/26/2021,,,253.19,0,11.51
Merced College Farm,MC11,Performer- Heavy Duty,4/6/2021,,,460.35,0,11.51
Merced College Farm,MC11,Planting Corn,8/29/2021,,,"3,107.35",100,11.51
Merced College Farm,MC11,Planting - Drill - Oats,10/15/2020,,,552.42,100,11.51
Merced College Farm,MC11,Potash Application,4/4/2021,,,"1,450.10",0,11.51
Merced College Farm,MC11,Pre-Irrigation Furrow,6/14/2021,,,200,0,11.51
Merced College Farm,MC11,Raking,3/21/2021,,,172.63,100,11.51
Merced College Farm,MC11,Soil Sampling,10/12/2021,,,264.7,100,11.51
Merced College Farm,MC11,Swathing,3/20/2021,,,345.26,100,11.51
Merced College Farm,MC11,Tri-Plane,4/3/2021,,,230.17,0,11.51
Merced College Farm,MC11,VR- Side Dress,11/11/2021,,,"1,726.30",0,11.51
Merced College Farm,MC12,Baling,3/23/2021,,,47.8,100,2.39
Merced College Farm,MC12,Close Drains,1/10/2021,,,11.95,100,2.39
Merced College Farm,MC12,Close Drains,2/28/2021,,,11.95,100,2.39
Merced College Farm,MC12,Compost Application,10/13/2021,,,513.85,100,2.39
Merced College Farm,MC12,Disc with Flat Roller,10/14/2021,,,64.53,0,2.39
Merced College Farm,MC12,Disc with Ring Roller,4/1/2021,,,59.75,100,2.39
Merced College Farm,MC12,Flood Irrigation - Well,10/30/2020,,,58.96,100,2.39
Merced College Farm,MC12,Flood Irrigation - Well,11/30/2020,,,58.96,100,2.39
Merced College Farm,MC12,Flood Irrigation - Well,1/16/2021,,,58.96,100,2.39
Merced College Farm,MC12,Flood Irrigation - Well,2/18/2021,,,58.96,100,2.39
Merced College Farm,MC12,Fungicide Application,1/13/2021,,,46.01,0,2.39
Merced College Farm,MC12,Harrow Bed,3/28/2021,,,300,100,2.39
Merced College Farm,MC12,Make Flood Irrigation Checks,10/16/2020,,,11.95,100,2.39
Merced College Farm,MC12,Open Drains,10/18/2020,,,11.95,100,2.39
Merced College Farm,MC12,Open Drains,1/14/2021,,,11.95,100,2.39
Merced College Farm,MC12,Planting - Drill - Oats,10/15/2020,,,114.72,100,2.39
Merced College Farm,MC12,Raking,3/21/2021,,,35.85,100,2.39
Merced College Farm,MC12,Soil Sampling,10/12/2021,,,54.97,100,2.39
Merced College Farm,MC12,Swathing,3/20/2021,,,71.7,100,2.39
Merced College Farm,MC13,Baling,3/23/2021,,,62.98,100,3.15
Merced College Farm,MC13,Chicken Manure Application,4/4/2021,,,944.69,0,3.15
Merced College Farm,MC13,Close Drains,1/10/2021,,,15.74,100,3.15
Merced College Farm,MC13,Close Drains,2/28/2021,,,15.74,100,3.15
Merced College Farm,MC13,Compost Application,4/4/2021,,,944.69,0,3.15
Merced College Farm,MC13,Compost Application,10/13/2021,,,677.03,100,3.15
Merced College Farm,MC13,Discing,1/22/2022,,,85.02,0,3.15
Merced College Farm,MC13,Disc with Flat Roller,10/14/2021,,,85.02,0,3.15
Merced College Farm,MC13,Disc with Ring Roller,4/1/2021,,,78.72,100,3.15
Merced College Farm,MC13,Drip Irrigation,9/21/2021,,,300,0,3.15
Merced College Farm,MC13,Flood Irrigation - Well,10/30/2020,,,61.81,100,3.15
Merced College Farm,MC13,Flood Irrigation - Well,11/30/2020,,,61.81,100,3.15
Merced College Farm,MC13,Flood Irrigation - Well,1/16/2021,,,61.81,100,3.15
Merced College Farm,MC13,Flood Irrigation - Well,2/18/2021,,,61.81,100,3.15
Merced College Farm,MC13,Fungicide Application,1/13/2021,,,60.62,0,3.15
Merced College Farm,MC13,Fungicide Application,1/9/2022,,,60.62,0,3.15
Merced College Farm,MC13,Gypsum Application,4/4/2021,,,267.66,0,3.15
Merced College Farm,MC13,Harrow Bed,3/28/2021,,,300,100,3.15
Merced College Farm,MC13,Harvest,1/20/2022,,,"1,574.49",0,3.15
Merced College Farm,MC13,In Furrow Chisel,4/1/2021,,,141.7,0,3.15
Merced College Farm,MC13,Make Flood Irrigation Checks,10/16/2020,,,15.74,100,3.15
Merced College Farm,MC13,Open Drains,10/18/2020,,,15.74,100,3.15
Merced College Farm,MC13,Open Drains,1/14/2021,,,15.74,100,3.15
Merced College Farm,MC13,Optimizer- Heavy Duty,4/2/2021,,,141.7,0,3.15
Merced College Farm,MC13,Optimizer- Heavy Duty,4/5/2021,,,141.7,0,3.15
Merced College Farm,MC13,Performer- Cultivation 1st Pass,9/10/2021,,,69.28,0,3.15
Merced College Farm,MC13,Performer- Cultivation 2nd Pass,9/20/2021,,,69.28,0,3.15
Merced College Farm,MC13,Performer- Heavy Duty +  Side Dress,8/13/2021,,,551.07,0,3.15
Merced College Farm,MC13,Performer- Light Duty,8/28/2021,,,362.13,0,3.15
Merced College Farm,MC13,Planting - Drill - Oats,10/15/2020,,,151.15,100,3.15
Merced College Farm,MC13,Potash Application,4/4/2021,,,396.77,0,3.15
