Field_ID,Crop_Type,Irrigation_Type,Start_Time,Stop_Time,Run_Time_Minutes,Avg_Flow_gpm,Total_Water_Applied_ac_in,Fert_Start_Time,Fert_Stop_Time,Rate_GPM,Total_Fert_Applied
MC10,Processing Tomatoes,Drip Irrigation,4/2/20 12:00,4/2/20 18:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,4/10/20 0:00,4/10/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,4/16/20 0:00,4/16/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,4/22/20 0:00,4/22/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,4/28/20 0:00,4/28/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/3/20 0:00,5/3/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/6/20 0:00,5/6/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/8/20 0:00,5/8/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/10/20 0:00,5/10/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/12/20 0:00,5/12/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/14/20 0:00,5/14/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/16/20 0:00,5/16/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/18/20 0:00,5/18/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/20/20 0:00,5/20/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/22/20 0:00,5/22/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/24/20 0:00,5/24/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/26/20 0:00,5/26/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/28/20 0:00,5/28/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,5/30/20 0:00,5/30/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/2/20 0:00,6/2/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/4/20 0:00,6/4/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/6/20 0:00,6/6/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/8/20 0:00,6/8/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/10/20 0:00,6/10/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/11/20 0:00,6/11/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/12/20 0:00,6/12/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/13/20 0:00,6/13/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/14/20 0:00,6/14/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/15/20 0:00,6/15/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/16/20 0:00,6/16/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/17/20 0:00,6/17/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/18/20 0:00,6/18/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/19/20 0:00,6/19/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/20/20 0:00,6/20/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/21/20 0:00,6/21/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/22/20 0:00,6/22/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/23/20 0:00,6/23/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/24/20 0:00,6/24/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/25/20 0:00,6/25/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/26/20 0:00,6/26/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/27/20 0:00,6/27/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/28/20 0:00,6/28/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/29/20 0:00,6/29/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,6/30/20 0:00,6/30/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/1/20 0:00,7/1/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/2/20 0:00,7/2/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/3/20 0:00,7/3/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/4/20 0:00,7/4/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/5/20 0:00,7/5/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/6/20 0:00,7/6/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/7/20 0:00,7/7/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/8/20 0:00,7/8/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/9/20 0:00,7/9/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/10/20 0:00,7/10/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/11/20 0:00,7/11/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/12/20 0:00,7/12/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/13/20 0:00,7/13/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/14/20 0:00,7/14/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/15/20 0:00,7/15/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/17/20 0:00,7/17/20 12:00,720,25,0.662500276,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/20/20 0:00,7/20/20 6:00,360,25,0.331250138,,,5,
MC10,Processing Tomatoes,Drip Irrigation,7/25/20 0:00,7/25/20 6:00,360,25,0.331250138,,,5,
