time,value
"2020-01-01T00:00:00.000Z",43.8786
"2020-01-01T00:15:00.000Z",44.5147
"2020-01-01T00:30:00.000Z",45.292
"2020-01-01T00:45:00.000Z",45.5818
"2020-01-01T01:00:00.000Z",44.7583
"2020-01-01T01:15:00.000Z",44.6122
"2020-01-01T01:30:00.000Z",44.7096
"2020-01-01T01:45:00.000Z",43.5344
"2020-01-01T02:00:00.000Z",42.8421
"2020-01-01T02:15:00.000Z",43.1394
"2020-01-01T02:30:00.000Z",42.8421
"2020-01-01T02:45:00.000Z",42.6433
"2020-01-01T03:00:00.000Z",42.1946
"2020-01-01T03:15:00.000Z",39.9691
"2020-01-01T03:30:00.000Z",40.5815
"2020-01-01T03:45:00.000Z",39.1462
"2020-01-01T04:00:00.000Z",40.3778
"2020-01-01T04:15:00.000Z",42.6931
"2020-01-01T04:30:00.000Z",43.2383
"2020-01-01T04:45:00.000Z",42.1946
"2020-01-01T05:00:00.000Z",42.7428
"2020-01-01T05:15:00.000Z",42.9908
"2020-01-01T05:30:00.000Z",42.4442
"2020-01-01T05:45:00.000Z",42.0446
"2020-01-01T06:00:00.000Z",41.6433
"2020-01-01T06:15:00.000Z",41.442
"2020-01-01T06:30:00.000Z",40.8354
"2020-01-01T06:45:00.000Z",40.7847
"2020-01-01T07:00:00.000Z",40.7339
"2020-01-01T07:15:00.000Z",41.4923
"2020-01-01T07:30:00.000Z",41.5427
"2020-01-01T07:45:00.000Z",41.7438
"2020-01-01T08:00:00.000Z",41.6433
"2020-01-01T08:15:00.000Z",41.4923
"2020-01-01T08:30:00.000Z",41.8943
"2020-01-01T08:45:00.000Z",41.9945
"2020-01-01T09:00:00.000Z",42.0446
"2020-01-01T09:15:00.000Z",42.7924
"2020-01-01T09:30:00.000Z",44.1238
"2020-01-01T09:45:00.000Z",44.6122
"2020-01-01T10:00:00.000Z",46.1591
"2020-01-01T10:15:00.000Z",47.6352
"2020-01-01T10:30:00.000Z",48.6233
"2020-01-01T10:45:00.000Z",49.8343
"2020-01-01T11:00:00.000Z",51.3527
"2020-01-01T11:15:00.000Z",52.3996
"2020-01-01T11:30:00.000Z",53.1677
"2020-01-01T11:45:00.000Z",54.2444
"2020-01-01T12:00:00.000Z",54.6905
"2020-01-01T12:15:00.000Z",55.2239
"2020-01-01T12:30:00.000Z",55.7996
"2020-01-01T12:45:00.000Z",57.7763
"2020-01-01T13:00:00.000Z",57.9072
"2020-01-01T13:15:00.000Z",58.2559
"2020-01-01T13:30:00.000Z",58.4736
"2020-01-01T13:45:00.000Z",59.5148
"2020-01-01T14:00:00.000Z",60.206
"2020-01-01T14:15:00.000Z",59.4715
"2020-01-01T14:30:00.000Z",60.5078
"2020-01-01T14:45:00.000Z",60.3785
"2020-01-01T15:00:00.000Z",60.9382
"2020-01-01T15:15:00.000Z",60.0334
"2020-01-01T15:30:00.000Z",60.1629
"2020-01-01T15:45:00.000Z",59.5148
"2020-01-01T16:00:00.000Z",59.558
"2020-01-01T16:15:00.000Z",58.6909
"2020-01-01T16:30:00.000Z",58.2995
"2020-01-01T16:45:00.000Z",56.5932
"2020-01-01T17:00:00.000Z",56.5932
"2020-01-01T17:15:00.000Z",57.1638
"2020-01-01T17:30:00.000Z",55.4013
"2020-01-01T17:45:00.000Z",54.9574
"2020-01-01T18:00:00.000Z",55.1351
"2020-01-01T18:15:00.000Z",54.824
"2020-01-01T18:30:00.000Z",55.0019
"2020-01-01T18:45:00.000Z",55.3126
"2020-01-01T19:00:00.000Z",54.735
"2020-01-01T19:15:00.000Z",53.0325
"2020-01-01T19:30:00.000Z",52.852
"2020-01-01T19:45:00.000Z",52.852
"2020-01-01T20:00:00.000Z",52.4449
"2020-01-01T20:15:00.000Z",51.9455
"2020-01-01T20:30:00.000Z",52.0819
"2020-01-01T20:45:00.000Z",53.3927
"2020-01-01T21:00:00.000Z",53.1677
"2020-01-01T21:15:00.000Z",52.4449
"2020-01-01T21:30:00.000Z",52.0365
"2020-01-01T21:45:00.000Z",48.5765
"2020-01-01T22:00:00.000Z",49.6489
"2020-01-01T22:15:00.000Z",49.9269
"2020-01-01T22:30:00.000Z",48.9974
"2020-01-01T22:45:00.000Z",47.5406
"2020-01-01T23:00:00.000Z",47.5879
"2020-01-01T23:15:00.000Z",47.8713
"2020-01-01T23:30:00.000Z",48.1539
"2020-01-01T23:45:00.000Z",46.9712
"2020-01-02T00:00:00.000Z",47.0188
"2020-01-02T00:15:00.000Z",47.3037
"2020-01-02T00:30:00.000Z",46.3507
"2020-01-02T00:45:00.000Z",45.6783
"2020-01-02T01:00:00.000Z",45.7746
"2020-01-02T01:15:00.000Z",46.3507
"2020-01-02T01:30:00.000Z",45.7746
"2020-01-02T01:45:00.000Z",45.919
"2020-01-02T02:00:00.000Z",45.4853
"2020-01-02T02:15:00.000Z",46.8283
"2020-01-02T02:30:00.000Z",45.5818
"2020-01-02T02:45:00.000Z",45.5818
"2020-01-02T03:00:00.000Z",45.0012
"2020-01-02T03:15:00.000Z",45.0982
"2020-01-02T03:30:00.000Z",45.4853
"2020-01-02T03:45:00.000Z",44.9527
"2020-01-02T04:00:00.000Z",45.0012
"2020-01-02T04:15:00.000Z",43.8295
"2020-01-02T04:30:00.000Z",43.9768
"2020-01-02T04:45:00.000Z",43.6821
"2020-01-02T05:00:00.000Z",44.8069
"2020-01-02T05:15:00.000Z",43.8295
"2020-01-02T05:30:00.000Z",44.5635
"2020-01-02T05:45:00.000Z",45.1467
"2020-01-02T06:00:00.000Z",45.1467
"2020-01-02T06:15:00.000Z",45.3403
"2020-01-02T06:30:00.000Z",43.9768
"2020-01-02T06:45:00.000Z",44.4172
"2020-01-02T07:00:00.000Z",43.9277
"2020-01-02T07:15:00.000Z",44.4172
"2020-01-02T07:30:00.000Z",44.3195
"2020-01-02T07:45:00.000Z",43.1889
"2020-01-02T08:00:00.000Z",41.3411
"2020-01-02T08:15:00.000Z",42.4442
"2020-01-02T08:30:00.000Z",44.0748
"2020-01-02T08:45:00.000Z",45.6301
"2020-01-02T09:00:00.000Z",45.2436
"2020-01-02T09:15:00.000Z",44.7096
"2020-01-02T09:30:00.000Z",44.7583
"2020-01-02T09:45:00.000Z",45.5336
"2020-01-02T10:00:00.000Z",45.6783
"2020-01-02T10:15:00.000Z",46.1591
"2020-01-02T10:30:00.000Z",46.255
"2020-01-02T10:45:00.000Z",46.5421
"2020-01-02T11:00:00.000Z",47.0188
"2020-01-02T11:15:00.000Z",47.3985
"2020-01-02T11:30:00.000Z",47.5879
"2020-01-02T11:45:00.000Z",48.0127
"2020-01-02T12:00:00.000Z",49.0907
"2020-01-02T12:15:00.000Z",49.4631
"2020-01-02T12:30:00.000Z",49.9269
"2020-01-02T12:45:00.000Z",51.5355
"2020-01-02T13:00:00.000Z",51.8545
"2020-01-02T13:15:00.000Z",53.3927
"2020-01-02T13:30:00.000Z",54.1997
"2020-01-02T13:45:00.000Z",55.0463
"2020-01-02T14:00:00.000Z",59.2116
"2020-01-02T14:15:00.000Z",59.6878
"2020-01-02T14:30:00.000Z",58.1252
"2020-01-02T14:45:00.000Z",58.1252
"2020-01-02T15:00:00.000Z",57.2953
"2020-01-02T15:15:00.000Z",57.3828
"2020-01-02T15:30:00.000Z",57.2077
"2020-01-02T15:45:00.000Z",56.5052
"2020-01-02T16:00:00.000Z",55.9763
"2020-01-02T16:15:00.000Z",55.7112
"2020-01-02T16:30:00.000Z",55.6227
"2020-01-02T16:45:00.000Z",55.1351
"2020-01-02T17:00:00.000Z",54.4676
"2020-01-02T17:15:00.000Z",53.8416
"2020-01-02T17:30:00.000Z",53.5275
"2020-01-02T17:45:00.000Z",52.8068
"2020-01-02T18:00:00.000Z",52.5807
"2020-01-02T18:15:00.000Z",50.9406
"2020-01-02T18:30:00.000Z",50.2043
"2020-01-02T18:45:00.000Z",50.2966
"2020-01-02T19:00:00.000Z",50.2043
"2020-01-02T19:15:00.000Z",49.7416
"2020-01-02T19:30:00.000Z",49.8806
"2020-01-02T19:45:00.000Z",48.8573
"2020-01-02T20:00:00.000Z",47.7769
"2020-01-02T20:15:00.000Z",47.6824
"2020-01-02T20:30:00.000Z",47.5879
"2020-01-02T20:45:00.000Z",47.4459
"2020-01-02T21:00:00.000Z",48.9507
"2020-01-02T21:15:00.000Z",48.717
"2020-01-02T21:30:00.000Z",46.876
"2020-01-02T21:45:00.000Z",45.919
"2020-01-02T22:00:00.000Z",45.8228
"2020-01-02T22:15:00.000Z",45.7265
"2020-01-02T22:30:00.000Z",45.8228
"2020-01-02T22:45:00.000Z",46.0631
"2020-01-02T23:00:00.000Z",45.7265
"2020-01-02T23:15:00.000Z",45.7265
"2020-01-02T23:30:00.000Z",45.6783
"2020-01-02T23:45:00.000Z",45.7265
"2020-01-03T00:00:00.000Z",45.3887
"2020-01-03T00:15:00.000Z",44.6122
"2020-01-03T00:30:00.000Z",45.292
"2020-01-03T00:45:00.000Z",45.5336
"2020-01-03T01:00:00.000Z",44.9527
"2020-01-03T01:15:00.000Z",42.9908
"2020-01-03T01:30:00.000Z",43.3371
"2020-01-03T01:45:00.000Z",43.1889
"2020-01-03T02:00:00.000Z",42.2945
"2020-01-03T02:15:00.000Z",42.2446
"2020-01-03T02:30:00.000Z",41.2907
"2020-01-03T02:45:00.000Z",40.3268
"2020-01-03T03:00:00.000Z",40.8354
"2020-01-03T03:15:00.000Z",40.5815
"2020-01-03T03:30:00.000Z",41.038
"2020-01-03T03:45:00.000Z",40.5306
"2020-01-03T04:00:00.000Z",40.3778
"2020-01-03T04:15:00.000Z",40.4288
"2020-01-03T04:30:00.000Z",40.0203
"2020-01-03T04:45:00.000Z",39.5586
"2020-01-03T05:00:00.000Z",39.0945
"2020-01-03T05:15:00.000Z",39.1462
"2020-01-03T05:30:00.000Z",39.1979
